Selected optimization level O1:  Insert automatic casts around Pytorch functions and Tensor methods.

Defaults for this optimization level are:
enabled                : True
opt_level              : O1
cast_model_type        : None
patch_torch_functions  : True
keep_batchnorm_fp32    : None
master_weights         : None
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O1
cast_model_type        : None
patch_torch_functions  : True
keep_batchnorm_fp32    : None
master_weights         : None
loss_scale             : 128.0

Epoch 0 step 0,loss :0.4927102029323578,img/s :33.29372135322838,time :1.9222843647003174
Epoch 0 step 1,loss :0.43746066093444824,img/s :201.66650088724546,time :0.3173556327819824
Epoch 0 step 2,loss :0.5560930371284485,img/s :208.34662311938453,time :0.30718040466308594
Epoch 0 step 3,loss :0.4626425504684448,img/s :207.44962321645096,time :0.30850863456726074
Epoch 0 step 4,loss :0.5772743225097656,img/s :206.64681764364445,time :0.3097071647644043
Epoch 0 step 5,loss :0.5455015897750854,img/s :207.41131401355878,time :0.308565616607666
Epoch 0 step 6,loss :0.5462398529052734,img/s :207.57121636595755,time :0.30832791328430176
Epoch 0 step 7,loss :0.5163395404815674,img/s :207.37446077401333,time :0.3086204528808594
Epoch 0 step 8,loss :0.4643628001213074,img/s :207.35523819528987,time :0.30864906311035156
Epoch 0 step 9,loss :0.4937852621078491,img/s :207.43407342381747,time :0.3085317611694336
Epoch 0 step 10,loss :0.4924852252006531,img/s :207.4824938513218,time :0.3084597587585449
Epoch 0 step 11,loss :0.5521252751350403,img/s :207.4762396111339,time :0.3084690570831299
Epoch 0 step 12,loss :0.514916718006134,img/s :207.42974554575642,time :0.30853819847106934
Epoch 0 step 13,loss :0.4982624053955078,img/s :207.45058513585678,time :0.30850720405578613
Epoch 0 step 14,loss :0.5165196657180786,img/s :207.50302323819653,time :0.3084292411804199
Epoch 0 step 15,loss :0.5106316804885864,img/s :207.35491784917,time :0.30864953994750977
Epoch 0 step 16,loss :0.5081143975257874,img/s :207.46068582822608,time :0.30849218368530273
Epoch 0 step 17,loss :0.47879666090011597,img/s :207.38487449232568,time :0.3086049556732178
Epoch 0 step 18,loss :0.5054966807365417,img/s :207.47479637848173,time :0.3084712028503418
Epoch 0 step 19,loss :0.4775412976741791,img/s :207.52050849724438,time :0.30840325355529785
Epoch 0 step 20,loss :0.4761962294578552,img/s :207.54585933434825,time :0.3083655834197998
Epoch 0 step 21,loss :0.4895525574684143,img/s :207.571537380753,time :0.30832743644714355
Epoch 0 step 22,loss :0.5027971267700195,img/s :207.44721845696347,time :0.30851221084594727
Epoch 0 step 23,loss :0.523371160030365,img/s :207.36324716998914,time :0.3086371421813965
Epoch 0 step 24,loss :0.5075458288192749,img/s :207.47223068112083,time :0.3084750175476074
Epoch 0 step 25,loss :0.4945929944515228,img/s :207.52532147100865,time :0.3083961009979248
Epoch 0 step 26,loss :0.5255958437919617,img/s :207.22237953123286,time :0.30884695053100586
Epoch 0 step 27,loss :0.5383591651916504,img/s :207.4577998157548,time :0.30849647521972656
Epoch 0 step 28,loss :0.49289751052856445,img/s :207.45988415004078,time :0.30849337577819824
Epoch 0 step 29,loss :0.5111385583877563,img/s :207.46533568388438,time :0.3084852695465088
Epoch 0 step 30,loss :0.4866512715816498,img/s :208.0282211441591,time :0.3076505661010742
Epoch 0 step 31,loss :0.5176119804382324,img/s :207.69664820030331,time :0.30814170837402344
Epoch 0 step 32,loss :0.5127164125442505,img/s :207.8381616030227,time :0.30793190002441406
Epoch 0 step 33,loss :0.49819326400756836,img/s :207.83172499225768,time :0.3079414367675781
Epoch 0 step 34,loss :0.5006524324417114,img/s :207.56222835479176,time :0.30834126472473145
Epoch 0 step 35,loss :0.48672398924827576,img/s :207.75146176879636,time :0.3080604076385498
Epoch 0 step 36,loss :0.4978023171424866,img/s :207.7836239520272,time :0.3080127239227295
Epoch 0 step 37,loss :0.48002374172210693,img/s :207.67013588838043,time :0.3081810474395752
Epoch 0 step 38,loss :0.5073943138122559,img/s :207.0345873313728,time :0.3091270923614502
Epoch 0 step 39,loss :0.4907723367214203,img/s :206.34008872066826,time :0.3101675510406494
Epoch 0 step 40,loss :0.5468069314956665,img/s :207.15313648153193,time :0.30895018577575684
Epoch 0 step 41,loss :0.51853346824646,img/s :207.63640273356978,time :0.3082311153411865
Epoch 0 step 42,loss :0.5004186034202576,img/s :207.5851814274468,time :0.3083071708679199
Epoch 0 step 43,loss :0.5309776663780212,img/s :207.71545194196807,time :0.30811381340026855
